Class of,College,IPED,Admission Decision,GPA,SAT Single,SAT Super,SAT CR,SAT M,__ SAT W,ACT,Sub Test 1,Sub Test 2,Major,AP/IB/Coll,Honors,App Deadline,Home State,HS Level,Merit Scholarship,URM
2020,Chapman University,111948,Accepted  ,3.85,,,,,,28,,,Business  ,6,8,EA  ,CA, PubR,"$80,000 ",
2020,Chapman University,111948,Withdrawn,2.9,1230,1230,600,630,,,,,Undecided,6,6,EA  ,NJ, PubR,,
2020,Chapman University,111948,Accepted  ,,,,,,,28,,,Biology ,0,4,EA  ,CA,PrivA,,
2020,Chapman University,111948,Accepted  ,3.9,1250,,710,540,,,,,English - Creative Writing ,4,2,,CA,PubA,"$48,000 ",
2020,Chapman University,111948,Accepted  ,3.76,,,,,,26,,,Political Science,11,6,EA  ,CA, PubR,"$80,000 ",checked
2020,Chapman University,111948,Not Accepted,3.3,,1270,610,660,,,,,Film - Production,10,0,ED ,CA, PubR,,
2020,Chapman University,111948,Deferred then accepted,3.36,,1440,710,730,,,,,Biology ,16,6,EA  ,CA, PubR,,
2020,Chapman University,111948,Accepted  ,3.7,,1230,580,650,,,,,Chemistry,6,14,EA  ,CA, PubR,"$80,000 ",
2020,Chapman University,111948,Not Accepted,2.66,1320,1320,620,700,,,,,Communication,1,8,,CA,PrivR,,
2020,Chapman University,111948,Accepted  ,2.96,1230,1230,610,620,,,,,Business - Administration,4,,,CA,PrivR,,
2020,Chapman University,111948,Deferred then accepted,3.3,,1360,680,680,,,710,,Business  ,12,6,,CA, PubR,,
2020,Chapman University,111948,Accepted  ,3.66,,,,,,31,,,Business - Marketing,10,,EA  ,CA, PubR,,
2020,Chapman University,111948,Accepted  ,3.18,1230,1260,580,680,,,,,Business - Management,4,12,,CA,PubA,"$54,000 ",
2020,Chapman University,111948,Not Accepted,3.13,,1290,730,560,,,600,670,Film - Production,6,22,EA  ,MA, PubR,,
2020,Chapman University,111948,Accepted  ,3.55,1340,1340,680,660,,,,,Biology ,16,8,,CA, PubR,"$80,000 ",
2020,Chapman University,111948,Accepted  ,3.66,,1180,550,630,,,,,Business - Administration,4,10,EA  ,CA, PubR,"$228,000 ",checked
2020,Chapman University,111948,Accepted  ,3.77,,,,,,33,750,720,Biology - Biochemistry & Molecular,16,10,EA  ,CA, PubR,"$128,000 ",
2020,Chapman University,111948,Accepted  ,3.59,1420,1420,700,720,,31,730,,Economics ,10,12,EA  ,CA, PubR,,
2020,Chapman University,111948,Deferred then accepted,3.4,,,,,,30,,,Business  ,14,13,EA  ,CA, PubR,,
2020,Chapman University,111948,Deferred then accepted,3.6,,,,,,31,,,Psychology ,10,4,EA  ,CA, PubR,,
2020,Chapman University,111948,Waitlisted,3.14,,,,,,22,,,Psychology ,6,0,EA  ,CA, PubR,,
2020,Chapman University,111948,Accepted  ,3.82,,,,,,30,,,Business  ,6,0,EA  ,HI,PrivR,"$112,000 ",
2020,Chapman University,111948,Accepted  ,,,690,600,,,30,,,Political Science,10,4,EA  ,CA,PubA,,
2020,Chapman University,111948,Not Accepted,3.27,1260,,610,650,,,,,Film - Production,10,4,,CA,PrivR,,
2020,Chapman University,111948,Waitlisted,3.36,1160,1160,610,550,,,,,Communication,6,2,,CA, PubR,,
2020,Chapman University,111948,Accepted  ,3.58,,,,,,25,,,Psychology ,8,4,,CA, PubR,,
2020,Chapman University,111948,Accepted  ,3.2,,,,,,29,,,Business - Marketing,12,2,ED ,CA, PubR,,
2020,Chapman University,111948,Accepted  ,3.3,,,,,,22,,,Communication,10,6,,CA, PubR,,
2020,Chapman University,111948,Not Accepted,3.72,,,,,,26,,,Film - Production,2,4,,CA,PrivA,,checked
2020,Chapman University,111948,Waitlisted,3.21,,,,,,25,,,Art - Screenwriting,4,2,,CA,PrivR,,checked
2020,Chapman University,111948,Accepted  ,3.72,,1500,790,710,,,,,Accounting,10,8,EA  ,CA, PubR,"$125,200 ",checked
2020,Chapman University,111948,Accepted  ,3.77,,1440,640,800,,,,,Business - Administration,10,8,EA  ,CA, PubR,"$154,320 ",
2020,Chapman University,111948,Not Accepted,3.69,,,,,,31,,,Film - Production,20,14,ED ,NY, PubR,,
2020,Chapman University,111948,Accepted  ,3.8,,1500,710,790,,,,,Biology ,20,8,EA  ,CA,PubA,,
2020,Chapman University,111948,Accepted  ,3.5,,1250,600,650,,,,,Psychology ,10,2,EA  ,CA, PubR,,
2020,Chapman University,111948,Accepted  ,3.6,,,,,,33,,,Biology ,8,14,EA  ,CA,PubA,,
2020,Chapman University,111948,Accepted  ,3.97,1480,1540,750,790,,,720,,Biology ,12,10,EA  ,CA,PubA,"$12,000 ",
2020,Chapman University,111948,Accepted  ,3.84,,,,,,34,790,,Computer Science ,18,1,EA  ,NY, PubR,"$128,000 ",
2020,Chapman University,111948,Not Accepted,3.6,,,,,,20,,,Business - Administration,8,12,EA  ,CA,PubA,,checked
2020,Chapman University,111948,Not Accepted,2.7,,1390,680,710,,,,,Business - Administration,9,2,EA  ,CA, PubR,,
2020,Chapman University,111948,Accepted  ,3.85,,,,,,32,,,Business - Administration,19,12,EA  ,TX,PrivR,"$128,000 ",checked
2017,Chatham University,211556,Accepted  ,4,,2040,570,680,790,,680,,Business - International ,18,16,EA  ,NJ,PubA,"$64,000 ",
2018,Christopher Newport University,231712,Deferred  ,2.95,,1220,630,590,,,,,Business   ,6,8,EA  ,VA, PubR,,checked
2016,Christopher Newport University,231712,Accepted  ,3.7,,,,,,,740,710,Psychology,8,,EA  ,VA,PrivR,,
2020,Christopher Newport University,231712,Accepted  ,3.88,,1390,690,730,,,,,Business  ,6,8,EA  ,VA, PubR,,
2016,Claremont McKenna College,112260,Not Accepted,3.62,,,,,,,,,,8,8,,CA, PubR,,
2017,Claremont McKenna College,112260,Not Accepted,3.8,,1380,740,650,,,,,Sociology - American Studies,6,12,ED ,CA, PubR,,
2018,Claremont McKenna College,112260,Not Accepted,3.52,,,,,,30,,,Environmental Science  ,16,,,CA, PubR,,
2018,Claremont McKenna College,112260,Not Accepted,,,,760,780,,,,,,,,,CA,PrivR,,
2017,Claremont McKenna College,112260,Accepted  ,3.92,,,,,,,,,,15,4,ED ,WA, PubR,,
2019,Claremont McKenna College,112260,Not Accepted,3.87,,,,,,30,,,Communication,4,4,,CA,PrivR,,
2019,Claremont McKenna College,112260,Not Accepted,3.8,,,750,750,,,800,,International Studies,20,10,,CA, PubR,,
2017,Claremont McKenna College,112260,Waitlisted,3.7,,,,,,,800,660,Physics,14,18,,CA, PubR,,
2016,Claremont McKenna College,112260,Not Accepted,3.6,,,,,,,750,700,Biology  ,8,34,,MA, PubR,,
2019,Claremont McKenna College,112260,Not Accepted,4,,,,,,34,720,,Business   ,14,4,,WA, PubR,,
2015,Claremont McKenna College,112260,Not Accepted,3.88,2070,2100,750,630,720,,670,720,Business   ,18,10,,CA, PubR,,checked
2015,Claremont McKenna College,112260,Not Accepted,3.92,,2090,600,770,670,,700,670,,12,6,,WA, PubR,,checked
2017,Claremont McKenna College,112260,Not Accepted,3.58,,,,,,,,,,12,14,,WA, PubR,,
2019,Claremont McKenna College,112260,Not Accepted,4,,,,,,33,,,Economics ,5,12,,CT, PubR,,
2015,Claremont McKenna College,112260,Not Accepted,3.66,2170,2190,720,740,730,,720,700,Economics ,10,28,,, PubR,,
2019,Claremont McKenna College,112260,Not Accepted,4,1500,1500,750,750,,,690,,Undecided,18,4,,WA, PubR,,
2015,Claremont McKenna College,112260,Not Accepted,3.19,1950,2010,670,600,740,,680,650,Undecided,28,10,,CA,PrivR,,
2019,Claremont McKenna College,112260,Not Accepted,3.75,,1430,680,750,,,710,,Math - Applied,18,8,,CA, PubR,,checked
2019,Claremont McKenna College,112260,Accepted  ,4,,,720,790,,,,,Biology - Molecular,22,12,,NY,PubA,,checked
2015,Claremont McKenna College,112260,Not Accepted,3.73,,,,,,,,,,12,8,,WA, PubR,,
2019,Claremont McKenna College,112260,Waitlisted,3.89,,1460,700,760,,,640,,Biology  ,26,20,,CA,PrivR,,checked
2016,Claremont McKenna College,112260,Not Accepted,4,,2130,720,680,730,,780,740,Neuroscience,12,18,,CA, PubR,,checked
2016,Claremont McKenna College,112260,Not Accepted,3.88,,2050,650,720,680,,650,620,,16,10,,WA, PubR,,checked
2016,Claremont McKenna College,112260,Not Accepted,3.78,,,,,,,,,Government,10,2,,CA, PubR,,checked
2019,Claremont McKenna College,112260,Not Accepted,,,,,,,31,,,Economics ,4,2,,CA, PubR,,
2015,Claremont McKenna College,112260,Not Accepted,3.96,,,,,,,680,650,,14,9,,WA,PubA,,checked
2019,Claremont McKenna College,112260,Not Accepted,4,,1550,760,790,,,770,,Economics ,16,12,ED ,CA, PubR,,checked
2018,Claremont McKenna College,112260,Not Accepted,4,,,,,,34,720,,Undecided,14,8,,NV,PubA,,checked
2015,Claremont McKenna College,112260,Waitlisted,3.81,2090,2130,800,630,700,,690,790,History,16,2,,CA, PubR,,
2016,Claremont McKenna College,112260,Not Accepted,3.94,,1840,600,720,520,,,,Pre - Med,10,2,,CA,PubA,,checked
2016,Claremont McKenna College,112260,Not Accepted,3.73,,2030,640,670,720,,,,,11,12,,CA, PubR,,checked
2017,Claremont McKenna College,112260,Accepted  ,4,,1500,710,790,,,790,700,,33,4,,WA, PubR,,
2018,Claremont McKenna College,112260,Not Accepted,3.2,,1450,740,710,,,,,English - Creative Writing ,9,,,CA, PubR,,
2017,Claremont McKenna College,112260,Not Accepted,3.96,,,,,,,,,Environmental Science  ,18,18,,CA, PubR,,
2018,Claremont McKenna College,112260,Not Accepted,3.74,,1420,700,720,,,,,,,,,CA,PrivR,,
2016,Claremont McKenna College,112260,Not Accepted,3.66,,,,,,,750,730,Economics ,2,16,ED ,CA,PrivR,,
2019,Claremont McKenna College,112260,Not Accepted,3.91,1540,1540,780,760,,,,,Undecided,18,20,,NJ, PubR,,
2019,Claremont McKenna College,112260,Not Accepted,3.9,,,,,,29,,,Political Science,22,6,,FL, PubR,,checked
2019,Claremont McKenna College,112260,Accepted  ,4,,1530,730,730,,,,,Economics ,6,18,,TX,PubA,,
2018,Claremont McKenna College,112260,Waitlisted,3.52,,1520,770,760,,34,700,,Math - Probability/Statistics,22,38,,TX, PubR,,
2016,Claremont McKenna College,112260,Not Accepted,3.96,,,,,,,,,Media Studies,5,,,CA, PubR,,checked
2016,Claremont McKenna College,112260,Not Accepted,3.73,,2030,640,670,720,,,,,11,12,,CA, PubR,,
2019,Claremont McKenna College,112260,Not Accepted,3.6,,,740,700,,,,,,10,10,,CA,PrivR,,
2019,Claremont McKenna College,112260,Not Accepted,4,1530,1540,750,790,,,780,,Physics,12,,,WA,PubA,,checked
2018,Claremont McKenna College,112260,Not Accepted,3.63,,,,,,31,,,Economics ,11,17,,CA,PrivR,,
2016,Claremont McKenna College,112260,Waitlisted,4,,,,,,35,770,670,Biochemistry   ,26,24,,CA,PrivR,,checked
2019,Claremont McKenna College,112260,Not Accepted,3.91,1540,1550,760,790,,,770,,Undecided,12,0,,WA, PubR,,
2018,Claremont McKenna College,112260,Not Accepted,3.9,,,,,,35,780,760,Neuroscience,7,12,,CA, PubR,,checked
2016,Claremont McKenna College,112260,Not Accepted,3.7,,1960,600,650,710,,,,,6,4,,CA,PubA,,
2018,Claremont McKenna College,112260,Not Accepted,4,,,,,,32,,,Environmental Science  ,10,16,ED I,WA, PubR,,checked
2016,Claremont McKenna College,112260,Not Accepted,3.93,,2240,780,730,730,,,,Economics ,18,12,,WA, PubR,,checked
2015,Claremont McKenna College,112260,Waitlisted,4,,,,,,,750,,Undecided,8,6,,CA, PubR,,checked
2016,Claremont McKenna College,112260,Not Accepted,3.4,,,,,,,680,650,Media Studies,4,,,TX,PrivR,,
2020,Claremont McKenna College,112260,Not Accepted,,,,,,,35,730,780,Biochemistry,,,,International,PrivR,,
2020,Claremont McKenna College,112260,Waitlisted,4,1530,,750,800,,,,,Psychology ,12,12,,CA, PubR,,
2020,Claremont McKenna College,112260,Not Accepted,,,,,,,33,730,720,History,,,ED II,CA,PrivR,,
2020,Claremont McKenna College,112260,Not Accepted,3.7,,,,,,33,,,Economics ,10,4,,CA, PubR,,
2020,Claremont McKenna College,112260,Waitlisted,3.9,,,,,,34,750,800,Biology ,20,2,,CA, PubR,,
2020,Claremont McKenna College,112260,Not Accepted,3.59,1420,1420,700,720,,31,730,,Economics ,10,12,ED ,CA, PubR,,
2020,Claremont McKenna College,112260,Accepted  ,4,1600,1600,800,800,,,800,800,International Relations,18,32,,,,"$60,000 ",
2020,Claremont McKenna College,112260,Not Accepted,3.62,,,,,,30,,,Environmental Science  ,14,23,,CA,PrivR,,checked
2020,Claremont McKenna College,112260,Not Accepted,,,1480,750,730,,,,,,4,8,,CA, PubR,,
2020,Claremont McKenna College,112260,Not Accepted,3.7,,,,,,33,,,,0,16,,CA,PubA,,
2018,Clark University,165334,Accepted  ,3.7,,,,,,29,,,Psychology,,,EA  ,CT,PrivA,"$68,000 ",checked
2016,Clark University,165334,Accepted  ,2.7,,1880,660,620,600,,,,Undecided - Liberal Arts & Sciences,2,,,FL, PubR,,checked
2016,Clark University,165334,Accepted  ,3.5,,1680,550,590,540,,570,560,Pre - Med,2,,,,PrivR,"$60,000 ",
2017,Clark University,165334,Not Accepted,2.7,,1090,570,520,,,,,Business - Management ,4,4,,TX,PrivR,,
2017,Clark University,165334,Accepted  ,3.35,,1380,700,680,,,,,Biology  ,0,12,EA  ,MA, PubR,,
2018,Clark University,165334,Accepted  ,3.88,,,,,,33,,,Undecided - Liberal Arts & Sciences,16,6,,CA,PubA,,checked
2016,Clark University,165334,Accepted  ,2.9,,1810,590,630,590,,,,Business   ,,,,,PrivR,,checked
2015,Clark University,165334,Not Accepted,2.7,,,,,,,,,Business - Entrepreneurship,6,4,,CA,PrivR,"$72,000 ",checked
2019,Clark University,165334,Accepted  ,3.18,,1380,710,670,,,,,Philosophy,16,10,EA  ,CA, PubR,"$60,000 ",checked
2018,Clark University,165334,Not Accepted,3,,1250,700,550,,,,,Undecided - Liberal Arts & Sciences,3,1,EA  ,CT, PubR,,
2019,Clark University,165334,Accepted  ,3.27,,,,,,31,,,History,10,10,EA  ,MA, PubR,"$60,000 ",
2017,Clark University,165334,Accepted  ,3.83,,1110,550,560,,,,,Undecided,8,8,,TX, PubR,"$80,000 ",
2017,Clark University,165334,Accepted  ,3.73,,,,,,,,,Education ,8,28,EA  ,MA, PubR,"$60,000 ",
2017,Clark University,165334,Accepted  ,3.17,,1100,560,540,,,,,Business - Management ,2,12,,TX,PrivR,,checked
2015,Clark University,165334,Waitlisted,3,1500,1500,480,530,490,,,,Biology  ,0,2,,MA, PubR,,checked
2017,Clark University,165334,Accepted  ,3.7,,,,,,33,,,Women & Gender Studies,4,4,,MA, PubR,,
2018,Clark University,165334,Accepted  ,3.1,,,,,,27,,,Computer Science ,4,3,EA  ,MA, PubR,,checked
2017,Clark University,165334,Accepted  ,2.95,,1270,670,600,,,,,Undecided,11,8,,CA, PubR,,
2016,Clark University,165334,Accepted  ,3.2,,,,,,,,,Environmental Science  ,,,EA  ,NY,PrivA,,
2017,Clark University,165334,Accepted  ,4,,1890,600,690,600,,720,630,,6,6,,WA, PubR,"$40,000 ",
2015,Clark University,165334,Accepted  ,3.87,1780,1840,560,650,640,,710,580,Undecided,12,8,,WA,PubA,,checked
2018,Clark University,165334,Not Accepted,3.2,,,,,,25,,,Environmental Science  ,2,2,EA  ,CT,PrivA,,
2019,Clark University,165334,Accepted  ,4,1500,1500,750,750,,,690,,Undecided,18,4,EA  ,WA, PubR,"$80,000 ",
2016,Clark University,165334,Waitlisted,3.21,,1800,600,660,540,,,,,6,2,,CA, PubR,,
2016,Clark University,165334,Not Accepted,3.13,,,,,,,,,Communication,,,EA  ,NY,PubA,,checked
2015,Clark University,165334,Accepted  ,3.65,2010,2040,700,690,650,,740,710,Biology  ,12,28,,MA, PubR,"$80,000 ",checked
2018,Clark University,165334,Accepted  ,3.63,,,,,,29,,,Pre - Med,12,28,,NJ, PubR,,
2017,Clark University,165334,Accepted  ,3.7,,,,,,,,,English  ,,,EA  ,MA, PubR,"$40,000 ",
2017,Clark University,165334,Accepted  ,3.19,,1460,710,750,,,,,Education ,14,24,EA  ,MA,PubA,"$60,000 ",
2018,Clark University,165334,Accepted  ,3.4,,,,,,32,,,Psychology,4,7,EA  ,NJ, PubR,"$60,000 ",
2019,Clark University,165334,Accepted  ,2.8,1450,1450,720,730,,,,,History,8,24,EA  ,MA, PubR,"$60,000 ",
2016,Clark University,165334,Accepted  ,4,,2320,740,780,800,,770,720,,16,16,EA  ,NJ, PubR,"$60,000 ",
2015,Clark University,165334,Accepted  ,3.84,,,,,,,,,Computer Science ,2,12,,MA,PubA,,checked
2019,Clark University,165334,Not Accepted,3.6,,,550,600,,,,,Undecided - Biological Sciences,8,0,EA  ,NY,PrivA,,
2019,Clark University,165334,Accepted  ,3.83,1410,1440,750,690,,,,,Psychology,13,14,EA  ,CA,PrivA,"$80,000 ",
2016,Clark University,165334,Accepted  ,4,,,,,,,800,700,,10,16,EA  ,WA, PubR,,
2018,Clark University,165334,Accepted  ,3.77,,1470,730,740,,31,,,Business - Management ,14,24,EA  ,CA,PrivR,,
2018,Clark University,165334,Accepted  ,3.6,,,,,,30,,,Undecided - Liberal Arts & Sciences,,,EA  ,CA,PrivA,,
2017,Clark University,165334,Accepted  ,3.14,,1160,570,590,,,,,Undecided,6,4,,CA, PubR,"$80,000 ",
2015,Clark University,165334,Accepted  ,4,2100,2100,720,730,650,,,,,8,8,,WA,PubA,,checked
2019,Clark University,165334,Accepted  ,3.93,,1560,780,780,,,,,Computer Science ,6,18,EA  ,TX, PubR,"$80,000 ",
2019,Clark University,165334,Deferred then not accepted ,3.7,,1330,630,700,,,,,International Studies - Development ,6,14,EA  ,CT, PubR,,checked
2018,Clark University,165334,Accepted  ,,,,700,630,,,770,,Film ,4,8,EA  ,MA, PubR,"$20,000 ",checked
2017,Clark University,165334,Accepted  ,3.58,,1370,650,720,,,760,690,Economics ,6,21,EA  ,MA, PubR,,
2019,Clark University,165334,Accepted  ,3.65,1500,,720,780,,,,,Biology  ,13,,,CA, PubR,"$60,000 ",
2016,Clark University,165334,Accepted  ,3.52,,2080,700,690,690,,680,640,,22,,EA  ,WA,PubA,,
2017,Clark University,165334,Accepted  ,3.23,,1100,550,550,,,,,Psychology,2,6,EA  ,NJ, PubR,"$60,000 ",
2018,Clark University,165334,Accepted  ,3.96,,,670,760,,,740,710,Biology  ,6,26,EA  ,MA, PubR,"$80,000 ",checked
2019,Clark University,165334,Accepted  ,3.33,,,560,550,,,,,,4,0,,CA, PubR,,
2018,Clark University,165334,Accepted  ,3.74,,,710,670,,,730,710,International Studies,14,11,EA  ,MA, PubR,"$80,000 ",checked
2019,Clark University,165334,Accepted  ,3.22,,,,,,29,,,,0,0,,CA,PrivR,,
2015,Clark University,165334,Accepted  ,3.54,2000,2000,610,750,640,,730,,,12,6,,, PubR,,checked
2016,Clark University,165334,Accepted  ,3.4,,2150,740,700,710,,770,760,History,6,27,EA  ,MA, PubR,,
2020,Clark University,165334,Accepted  ,3.72,,,,,,30,,,Economics ,9,2,EA  ,CA,PrivR,"$68,000 ",
2020,Clark University,165334,Waitlisted,3.36,,1440,710,730,,,,,Biology ,16,6,EA  ,CA, PubR,,
2020,Clark University,165334,Accepted  ,3.08,,1300,670,630,,,,,Psychology ,8,24,EA  ,MA,PubA,"$68,000 ",
2020,Clark University,165334,Accepted  ,3.21,1330,1330,690,640,,,,,Computer Science - Game Design,16,22,,TX, PubR,"$68,000 ",
2020,Clark University,165334,Accepted  ,3.6,,,,,,31,750,,Theater   ,0,8,EA  ,MA, PubR,,
2020,Clark University,165334,Accepted  ,3.7,,1400,730,670,,,,,Psychology ,24,,EA  ,NY, PubR,,
2020,Clark University,165334,Accepted  ,4,,,,,,31,,,History - Ancient,6,4,EA  ,NJ, PubR,"$68,000 ",
2020,Clark University,165334,Withdrawn,3,,,,,,31,,,Biology ,2,2,EA  ,NJ, PubR,,
2019,Clarkson University,190044,Accepted  ,3.3,1120,,,,,,,,Engineering ,14,10,,CO,PubA,"$138,000 ",
2018,Clarkson University,190044,Accepted  ,3.67,,,640,750,,27,,,Engineering - Mechanical ,10,21,,MA, PubR,,checked
2019,Clarkson University,190044,Accepted  ,3.84,,1350,650,700,,29,,,Engineering - Mechanical ,12,14,,CA,PubA,,
2018,Clarkson University,190044,Accepted  ,3.04,,,,,,28,,,Engineering - Mechanical ,16,10,,NM, PubR,,checked
2016,Clarkson University,190044,Accepted  ,2.78,,2050,710,700,640,,,,Computer Science ,3,6,,MA, PubR,,
2019,Clarkson University,190044,Accepted  ,3.55,1260,1260,650,610,,,,,Undecided,8,6,,WA, PubR,$1 ,checked
2017,Clarkson University,190044,Accepted  ,3.52,,,,,,,,,Computer Science ,11,3,,CA,PrivR,"$60,000 ",
2016,Clarkson University,190044,Accepted  ,3.29,,,,,,,,,Engineering - Mechanical ,3,1,,CT, PubR,,
2019,Clarkson University,190044,Accepted  ,3.9,,,,,,35,700,,Computer Science ,4,7,,CT,PubA,"$38,500 ",
2019,Clarkson University,190044,Accepted  ,4,,,590,700,,29,,,Biology  ,14,12,,NY, PubR,,checked
2016,Clarkson University,190044,Waitlisted,2.67,,1760,620,560,580,,,,Engineering - Computer ,18,,,TX, PubR,,
2016,Clarkson University,190044,Accepted  ,3.83,,2010,550,780,680,,,,Engineering - Computer ,8,34,,MA,PubA,,checked
2018,Clarkson University,190044,Accepted  ,3.86,,,,,,35,730,710,Undecided - Liberal Arts & Sciences,27,6,,CA, PubR,,checked
2016,Clarkson University,190044,Accepted  ,3.93,,,,,,,,,Engineering - Mechanical ,5,10,,CT,PubA,,
2020,Clarkson University,190044,Accepted  ,3.8,1110,1140,540,600,,,,,Environmental Science  ,,5,,MA,PrivR,,
2017,Clemson University,217882,Accepted  ,3.81,,,,,,,,,Engineering - Industrial,21,8,,CA, PubR,,
2019,Clemson University,217882,Not Accepted,3.6,1220,1220,630,590,,29,,,Pre - Med,16,8,,KY, PubR,,checked
2018,Clemson University,217882,Accepted  ,4,,,,,,32,,,Biology  ,18,22,,TX, PubR,"$40,000 ",
2018,Clemson University,217882,Accepted  ,4,,1520,720,800,,,800,750,Engineering ,12,14,,WA, PubR,,
2017,Clemson University,217882,Not Accepted,3.05,,,,,,,,,Undecided,12,12,,CA,PubA,,
2018,Clemson University,217882,Accepted  ,3.7,,,,,,28,,,Business - International ,10,8,,NJ,PubA,,
2018,Clemson University,217882,Accepted  ,3.05,,1250,630,620,,,,,Business   ,,,,CA, PubR,,
2016,Clemson University,217882,Accepted  ,3.7,,1760,530,600,630,,,,,6,16,,CA,,,
2019,Clemson University,217882,Accepted  ,3.2,,,,,,31,,,Pre - Med,20,20,,CA,PrivR,,
2018,Clemson University,217882,Not Accepted,3.96,,1240,630,610,,,,,,,,,,,,
2016,Clemson University,217882,Waitlisted,3.6,,,,,,,,,Communication,6,,,CA, PubR,,
2019,Clemson University,217882,Accepted  ,3.9,,,,,,32,770,,Engineering ,10,6,,CA,PubA,,
2017,Clemson University,217882,Not Accepted,2.9,,,,,,,,,Business - Administration ,8,2,,CA, PubR,,
2017,Clemson University,217882,Waitlisted,3.22,,,,,,,,,Business   ,6,9,,NJ, PubR,,
2016,Clemson University,217882,Accepted  ,3.13,,1950,610,660,680,,,,,10,22,,SC, PubR,,
2019,Clemson University,217882,Accepted  ,3.95,,,,,,33,740,,Business   ,12,6,,CA, PubR,,
2017,Clemson University,217882,Accepted  ,3.44,,1460,470,470,520,,,,Business   ,2,0,,CA, PubR,,
2017,Clemson University,217882,Accepted  ,3.95,,,,,,,,,Business   ,16,6,EA  ,CA, PubR,,checked
2017,Clemson University,217882,Accepted  ,3.35,,,,,,,,,Business - Administration ,6,8,,CA, PubR,,
2018,Clemson University,217882,Accepted  ,3.27,,,,,,29,,,Engineering - Electrical,12,6,,MD, PubR,,
2015,Clemson University,217882,Accepted  ,3.2,1980,2010,580,740,690,,,,Computer Science ,,7,,CT, PubR,,
2018,Clemson University,217882,Accepted  ,3.79,,1430,640,790,,32,,,Computer Science ,12,14,,NC,PubA,,
2019,Clemson University,217882,Accepted  ,3.48,,,,,,28,,,Nursing,10,2,,CA,PrivR,,
2016,Clemson University,217882,Accepted  ,3.5,,1740,580,600,560,,,,,8,,,CA,PrivA,,
2019,Clemson University,217882,Accepted  ,4,,,,,,30,,,Health Science,10,16,EA  ,VA,PubA,,
2017,Clemson University,217882,Accepted  ,3.75,,,,,,,,,Undecided,6,10,,CA,PrivA,,
2017,Clemson University,217882,Accepted  ,4,,,,,,,,,Biology - Microbiology,14,26,,NJ,PrivR,,
2017,Clemson University,217882,Accepted  ,3.7,,,,,,,,,Business   ,6,8,,GA,PrivR,,
2015,Clemson University,217882,Accepted  ,3.68,,,,,,,,,Nursing,2,6,,NJ, PubR,,
2018,Clemson University,217882,Accepted  ,3.38,,1470,720,750,,,800,,Undecided - Liberal Arts & Sciences,16,12,,NJ, PubR,,
2016,Clemson University,217882,Accepted  ,3.88,,1880,650,660,570,,650,600,,10,6,,WA, PubR,,
2018,Clemson University,217882,Accepted  ,4,,1390,710,680,,30,,,Business   ,18,22,,TX,PrivA,,
2017,Clemson University,217882,Waitlisted,3.75,,1260,680,580,,,,,,0,4,,CA,PrivR,,
2019,Clemson University,217882,Accepted  ,4,1470,1480,710,770,,,700,,Business - Administration ,10,6,EA  ,NJ,PrivR,,
2016,Clemson University,217882,Not Accepted,2.9,,,,,,,,,Biology - Animal & Vet Science,,,,CT, PubR,,
2016,Clemson University,217882,Waitlisted,3.68,,,,,,,,,Business   ,10,,,CA, PubR,,
2019,Clemson University,217882,Accepted  ,4,1450,1460,680,780,,30,,,Communication,9,13,EA  ,NC,PubA,,
2015,Clemson University,217882,Accepted  ,3.84,,,,,,,,,Pre - Med,12,26,,NC, PubR,"$40,000 ",
2019,Clemson University,217882,Waitlisted,4,,1290,640,650,,,,,Health Science,3,7,EA  ,CT,PubA,,
2018,Clemson University,217882,Accepted  ,3.65,,1320,620,700,,32,,,Pre - Nursing,20,8,,CA, PubR,"$60,000 ",
2018,Clemson University,217882,Accepted  ,3.58,,,,,,30,,,Biology  ,10,16,,CA,PrivA,"$30,000 ",
2019,Clemson University,217882,Not Accepted,2.9,,1360,700,660,,,,,Business - Real Estate,,,,CA, PubR,,
2019,Clemson University,217882,Not Accepted,2.75,,,,,,22,,,Business   ,4,6,,NJ, PubR,,
2019,Clemson University,217882,Accepted  ,4,1330,1330,630,700,,28,,,Chemistry,7,19,EA  ,NC,PubA,,
2016,Clemson University,217882,Not Accepted,2.85,,1550,520,540,490,,,,Pre - Vet,6,,,MA, PubR,,
2016,Clemson University,217882,Accepted  ,3.33,,1860,620,630,610,,,,Psychology,4,16,,NJ, PubR,,checked
2016,Clemson University,217882,Accepted  ,3.7,,,,,,31,,,Business   ,10,8,,CA,PrivR,,
2019,Clemson University,217882,Not Accepted,3.35,,,,,,23,,,Psychology,12,10,,CA,PrivR,,checked
2018,Clemson University,217882,Accepted  ,3.48,,,,,,33,710,700,Engineering - Computer ,15,9,,NC, PubR,,
2019,Clemson University,217882,Accepted  ,3.5,,,,,,26,,,Plant Science,16,8,,CA, PubR,,checked
2018,Clemson University,217882,Accepted  ,3.6,,1320,680,640,,24,,,Political Science,18,8,,CA, PubR,,
2019,Clemson University,217882,Not Accepted,3.61,,,,,,25,,,Biology  ,13,6,,CA, PubR,,
2019,Clemson University,217882,Waitlisted,3.55,,,,,,29,,,Computer Science ,6,4,,NJ, PubR,,
2019,Clemson University,217882,Withdrawn,3.36,1260,1260,610,650,,26,,,Undecided,6,8,EA  ,CT,PrivA,,
